LAT,LON,dist_to_pr_km,WMO_WIND,WMO_PRES,sst_current,sst_anom,sst_climo,merra_slp,merra_t2m,merra_rh2m,merra_u10,merra_v10,nino34,amo,year,month,day,dayofyear,is_hurricane_season,min_dist_7d,count_within_radius_7d,min_dist_30d,count_within_radius_30d,min_dist_365d,count_within_radius_365d,date,impact_next30,region
15.6,-54.2,1349.6180206758029, , ,28.18741798400879,-0.2205486297607422,28.408533096313477,,,,,,25.46,0.394,1998,9,19,262,1,1349.6180206758029,0.0,1349.6180206758029,0.0,1349.6180206758029,0.0,1998-09-19 21:00:00,0,puerto_rico
15.7,-54.9,1274.242620567226,130,939,28.5848388671875,0.1141872406005859,28.488128662109375,,,,,,25.46,0.394,1998,9,20,263,1,1274.242620567226,0.0,1274.242620567226,0.0,1274.242620567226,0.0,1998-09-20 00:00:00,0,puerto_rico
15.9,-55.6,1196.1798203846142, , ,28.73806381225586,0.2131290435791015,28.579505920410156,,,,,,25.46,0.394,1998,9,20,263,1,1196.1798203846142,0.0,1196.1798203846142,0.0,1196.1798203846142,0.0,1998-09-20 03:00:00,0,puerto_rico
16.0,-56.3,1120.8883581416408,135,937,28.750967025756836,0.1643848419189453,28.579505920410156,,,,,,25.46,0.394,1998,9,20,263,1,1120.8883581416408,0.0,1120.8883581416408,0.0,1120.8883581416408,0.0,1998-09-20 06:00:00,0,puerto_rico
16.1,-57.0,1045.6585811656123, , ,29.04451560974121,0.4239177703857422,28.58397102355957,,,,,,25.46,0.394,1998,9,20,263,1,1045.6585811656123,0.0,1045.6585811656123,0.0,1045.6585811656123,0.0,1998-09-20 09:00:00,0,puerto_rico
16.2,-57.7,970.4973090939354,130,939,29.015483856201172,0.3622817993164062,28.63648223876953,,,,,,25.46,0.394,1998,9,20,263,1,970.4973090939354,0.0,970.4973090939354,0.0,970.4973090939354,0.0,1998-09-20 12:00:00,0,puerto_rico
16.3,-58.5,885.1078150772066, , ,28.815160751342773,0.1264858245849609,28.701425552368164,,,,,,25.46,0.394,1998,9,20,263,1,885.1078150772066,0.0,885.1078150772066,0.0,885.1078150772066,0.0,1998-09-20 15:00:00,0,puerto_rico
16.4,-59.2,810.1384227355012,115,956,28.77838706970215,0.0579299926757812,28.701425552368164,,,,,,25.46,0.394,1998,9,20,263,1,810.1384227355012,0.0,810.1384227355012,0.0,810.1384227355012,0.0,1998-09-20 18:00:00,0,puerto_rico
16.5,-59.9,735.2808735557726, , ,28.859031677246097,0.0863628387451171,28.772340774536133,,,,,,25.46,0.394,1998,9,20,263,1,735.2808735557726,0.0,735.2808735557726,0.0,735.2808735557726,0.0,1998-09-20 21:00:00,0,puerto_rico
16.7,-60.6,657.4492983581799,100,963,28.81322479248047,-0.0015544891357421,28.863849639892575,,,,,,25.46,0.394,1998,9,21,264,1,657.4492983581799,0.0,657.4492983581799,0.0,657.4492983581799,0.0,1998-09-21 00:00:00,0,puerto_rico
16.9,-61.3,579.6987633582611, , ,28.817419052124023,-0.0281333923339843,28.863849639892575,,,,,,25.46,0.394,1998,9,21,264,1,579.6987633582611,0.0,579.6987633582611,0.0,579.6987633582611,0.0,1998-09-21 03:00:00,0,puerto_rico
17.0,-61.7,535.7280575016318,100,966,28.807741165161133,-0.0586662292480468,28.97422218322754,,,,,,25.46,0.394,1998,9,21,264,1,535.7280575016318,0.0,535.7280575016318,0.0,535.7280575016318,0.0,1998-09-21 04:30:00,0,puerto_rico
17.1,-62.1,491.77867514389527,100,966,28.70806312561035,-0.1515254974365234,28.77013397216797,,,,,,25.46,0.394,1998,9,21,264,1,491.77867514389527,0.0,491.77867514389527,0.0,491.77867514389527,0.0,1998-09-21 06:00:00,0,puerto_rico
17.2,-62.6,437.6131498382021,100,966,28.811288833618164,-0.099985122680664,28.90079116821289,,,,,,25.46,0.394,1998,9,21,264,1,437.6131498382021,0.0,437.6131498382021,0.0,437.6131498382021,0.0,1998-09-21 08:00:00,0,puerto_rico
17.2,-62.9,407.00880529897046, , ,28.899677276611328,-0.0374393463134765,28.90079116821289,,,,,,25.46,0.394,1998,9,21,264,1,407.00880529897046,0.0,407.00880529897046,0.0,407.00880529897046,0.0,1998-09-21 09:00:00,0,puerto_rico
17.4,-63.6,329.43750832856813,95,966,29.15386962890625,0.1908073425292968,28.982276916503903,,,,,,25.46,0.394,1998,9,21,264,1,329.43750832856813,0.0,329.43750832856813,0.0,329.43750832856813,0.0,1998-09-21 12:00:00,0,puerto_rico
17.6,-64.3,251.9449696104315, , ,29.15096664428711,0.1808319091796875,28.982276916503903,,,,,,25.46,0.394,1998,9,21,264,1,251.9449696104315,0.0,251.9449696104315,0.0,251.9449696104315,0.0,1998-09-21 15:00:00,0,puerto_rico
17.8,-65.0,174.53533474797698,90,970,29.064191818237305,0.1023921966552734,28.995363235473633,,,,,,25.46,0.394,1998,9,21,264,1,174.53533474797698,0.0,174.53533474797698,0.0,174.53533474797698,0.0,1998-09-21 18:00:00,1,puerto_rico
18.0,-65.6,107.48148686509144, , ,29.03419303894043,0.0513591766357421,29.049501419067383,,,,,,25.46,0.394,1998,9,21,264,1,107.48148686509144,0.0,107.48148686509144,0.0,107.48148686509144,0.0,1998-09-21 21:00:00,1,puerto_rico
18.1,-65.8,84.55253707079925,100,968,,,28.91379165649414,,,,,,25.46,0.394,1998,9,21,264,1,84.55253707079925,0.0,84.55253707079925,0.0,84.55253707079925,0.0,1998-09-21 22:00:00,1,puerto_rico
