LAT,LON,dist_to_miami_km,WMO_WIND,WMO_PRES,sst_current,sst_anom,sst_climo,merra_slp,merra_t2m,merra_rh2m,merra_u10,merra_v10,nino34,amo,year,month,day,dayofyear,is_hurricane_season,min_dist_7d,count_within_radius_7d,min_dist_30d,count_within_radius_30d,min_dist_365d,count_within_radius_365d,date,impact_next30,region
25.6,-71.1,911.0981868537416,110,961,28.381999969482425,-0.5802402496337891,28.959808349609375,,,,,,26.91,-0.396,1992,8,23,236,1,911.0981868537416,0.0,911.0981868537416,0.0,73.80874452564571,5.0,1992-08-23 00:00:00,0,miami
25.5,-71.8,841.6668015271189, , ,28.509666442871097,-0.474700927734375,28.99441146850586,,,,,,26.91,-0.396,1992,8,23,236,1,841.6668015271189,0.0,841.6668015271189,0.0,73.80874452564571,5.0,1992-08-23 03:00:00,0,miami
25.5,-72.5,771.5677709023892,130,947,28.4876651763916,-0.5292606353759766,29.043359756469727,,,,,,26.91,-0.396,1992,8,23,236,1,771.5677709023892,0.0,771.5677709023892,0.0,73.80874452564571,5.0,1992-08-23 06:00:00,0,miami
25.4,-73.3,692.3043676777842, , ,28.37666702270508,-0.6659984588623047,29.043359756469727,,,,,,26.91,-0.396,1992,8,23,236,1,692.3043676777842,0.0,692.3043676777842,0.0,73.80874452564571,5.0,1992-08-23 09:00:00,0,miami
25.4,-74.2,602.2407948327385,145,933,28.251665115356445,-0.81292724609375,29.065778732299805,,,,,,26.91,-0.396,1992,8,23,236,1,602.2407948327385,0.0,602.2407948327385,0.0,73.80874452564571,5.0,1992-08-23 12:00:00,0,miami
25.4,-75.0,522.2292409722706, , ,28.23699951171875,-0.8945960998535156,29.12615203857422,,,,,,26.91,-0.396,1992,8,23,236,1,522.2292409722706,0.0,522.2292409722706,0.0,73.80874452564571,5.0,1992-08-23 15:00:00,0,miami
25.4,-75.8,442.2878022234511,150,922,28.40133285522461,-0.8185157775878906,29.235132217407227,,,,,,26.91,-0.396,1992,8,23,236,1,442.2878022234511,0.0,442.2878022234511,0.0,73.80874452564571,5.0,1992-08-23 18:00:00,0,miami
25.4,-76.6,362.4667505843427,140,923,28.58966636657715,-0.8109054565429688,29.473636627197266,,,,,,26.91,-0.396,1992,8,23,236,1,362.4667505843427,0.0,362.4667505843427,0.0,73.80874452564571,5.0,1992-08-23 21:00:00,0,miami
25.4,-77.5,272.9488051901912,125,930,28.569332122802734,-1.003376007080078,29.601316452026367,,,,,,26.91,-0.396,1992,8,24,237,1,272.9488051901912,0.0,272.9488051901912,0.0,73.80874452564571,5.0,1992-08-24 00:00:00,0,miami
25.4,-77.8,243.23052359483353,130,931,28.618999481201172,-0.9827194213867188,29.601316452026367,,,,,,26.91,-0.396,1992,8,24,237,1,243.23052359483353,0.0,243.23052359483353,0.0,73.80874452564571,5.0,1992-08-24 01:00:00,0,miami
25.4,-78.4,184.15279148318535, , ,28.68199920654297,-1.031209945678711,29.601316452026367,,,,,,26.91,-0.396,1992,8,24,237,1,184.15279148318535,1.0,184.15279148318535,1.0,73.80874452564571,6.0,1992-08-24 03:00:00,0,miami
